52,0.105,-0.503,-0.112,0.747,1.27,0.702,-0.271,1.16,0.821
52.5,0.106,-0.581,0.117,0.747,0.94,1.39,-0.169,0.836,0.611
53,0.108,-0.581,0.231,0.661,1.01,1.39,-0.0668,1.49,0.0846
53.5,0.0969,-0.503,0.231,0.918,0.807,1.61,-0.169,1.49,-0.0206
54,0.102,-0.346,0.346,0.832,1.14,1.16,0.0351,1.49,-0.547
54.5,0.102,-0.503,0.231,0.832,1.07,1.16,-0.0668,1.16,-0.547
55,0.101,-0.189,0.231,1,0.475,1.16,0.137,1.16,-0.652
55.5,0.105,0.0464,0.00229,0.832,0.74,0.702,-0.169,1.16,-0.652
56,0.11,0.439,0.00229,1,0.541,0.247,-0.373,0.509,-0.126
56.5,0.114,0.753,0.117,0.489,0.541,0.0194,0.0351,0.509,-0.231
57,0.113,0.517,0.00229,-0.111,-0.189,0.0194,-0.169,0.182,-0.231
57.5,0.111,0.91,-0.112,-0.197,-0.189,0.0194,-0.271,0.182,-0.231
58,0.112,0.753,0.00229,-0.368,-0.123,0.0194,-0.373,-0.144,-0.0206
58.5,0.115,0.753,0.231,-0.283,-0.388,0.0194,-0.169,0.182,0.0846
59,0.112,0.674,0.231,-0.454,-0.521,0.475,0.0351,0.182,-0.231
59.5,0.104,0.674,-0.112,-0.197,-0.588,0.475,0.0351,-0.144,-0.231
60,0.101,0.753,-0.227,0.232,-0.388,0.702,0.0351,0.836,0.295
60.5,0.0958,0.596,-0.112,0.661,-0.654,0.475,0.0351,0.836,0.295
61,0.0978,0.753,0.231,0.489,-0.521,0.702,0.239,0.836,0.0846
61.5,0.0968,0.831,0.117,0.489,-0.256,0.702,0.239,0.836,0.19
62,0.105,0.91,0.00229,0.661,-0.0564,0.93,0.341,0.836,0.506
62.5,0.113,0.596,0.231,0.918,0.143,1.16,-0.0668,0.836,0.821
63,0.121,0.596,0.231,0.747,-0.123,1.39,-0.271,-0.144,0.611
63.5,0.123,0.36,0.00229,0.318,-0.256,1.61,-0.169,-0.144,0.611
64,0.108,0.125,-0.571,0.404,-0.455,1.39,-0.474,0.182,1.14
64.5,0.114,-0.11,-0.227,0.661,-0.787,1.39,-0.373,-0.144,1.14
65,0.117,-0.346,-0.227,0.747,-0.92,1.16,-0.576,-0.144,0.611
65.5,0.114,-0.267,-0.456,0.661,-1.12,0.93,-0.373,-0.144,0.611
66,0.109,-0.189,-0.227,0.661,-0.455,0.93,-0.169,-0.144,0.506
